id,lon,lat,Panorama_ID,route_1,route_1_seq,route_2,route_2_seq,route_3,route_3_seq,INDEX_THERMAL,INDEX_BUILT ENVIRONMENT,INDEX_FAMILIARITY,INDEX_PROXIMITY,thermal_comfort,greenery_rate,seg_sky,shading_area,human_scale,Street furniture,seg_sidewalk,CCTV coverage,Lighting,Maintenance & cleanliness,Presence of other people,Street vendors seating,Shops,Street vendors,dist_to_city_hall,dist_to_bank,dist_to_healthcare,dist_to_education,dist_to_police,dist_to_hospital,Traffic_low_evening,Traffic_high_evening,Traffic_low_morning,Traffic_high_morning,DIST_EMERGENCY,DIST_CAREGIVING,DIST_BUREAROCRATIC
0,106.7491469,-6.1624138,street_view_collage_0,,,,,,,0.46,0.18,0.31,0.57,0.46,0.08,0.31,0.66,0.14,0.33,0.07,0.0,0.0,0.0,0.1,0.2,0.2,0.17,0.46,0.35,0.84,0.98,0.62,0.17,1.0,0.0,1.0,0.0,0.4,0.91,0.4
1,106.7362959,-6.1609133,street_view_collage_1,,,,,,,0.3,0.2,0.25,0.6,0.3,0.29,0.61,0.46,0.29,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.49,0.96,0.74,0.23,0.24,1.0,0.0,1.0,0.0,0.24,0.85,0.72
10,106.738771,-6.1645986,street_view_collage_10,,,,,,,0.54,0.4,0.38,0.63,0.54,0.22,0.71,0.61,0.3,0.0,0.08,0.5,0.14,1.0,0.0,0.6,0.2,0.33,0.99,0.65,0.53,0.88,0.4,0.36,1.0,0.0,1.0,0.0,0.38,0.7,0.82
100,106.7472862,-6.1815081,street_view_collage_100,,,,,,,0.6,0.35,0.3,0.68,0.6,0.56,0.5,0.5,0.52,0.33,0.08,0.0,0.14,0.5,0.05,0.0,0.1,0.0,0.84,0.5,0.38,0.93,0.76,0.65,1.0,0.0,1.0,0.0,0.7,0.66,0.67
101,106.7344176,-6.1668529,street_view_collage_101,,,route_2,5.0,,,0.23,0.24,0.4,0.57,0.23,0.01,0.62,0.5,0.03,0.0,0.04,0.0,0.43,0.5,0.4,0.0,0.8,0.33,0.93,0.15,0.77,0.84,0.32,0.44,1.0,0.0,1.0,0.0,0.38,0.8,0.54
102,106.7425945,-6.178778,street_view_collage_102,,,,,,,0.42,0.3,0.31,0.6,0.42,0.45,0.77,0.29,0.42,0.0,0.01,0.0,0.29,0.5,0.1,0.0,0.1,0.17,0.92,0.4,0.12,0.72,0.7,0.74,1.0,0.0,1.0,0.0,0.72,0.42,0.66
103,106.7481422,-6.1684749,street_view_collage_103,,,,,,,0.43,0.28,0.27,0.59,0.43,0.18,0.49,0.67,0.22,0.17,0.26,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.48,0.6,0.59,0.78,0.72,0.36,1.0,0.0,1.0,0.0,0.54,0.68,0.54
104,106.7303917,-6.1643367,street_view_collage_104,,,,,,,0.3,0.2,0.3,0.58,0.3,0.09,0.56,0.5,0.12,0.0,0.07,0.0,0.0,0.5,0.1,0.2,0.1,0.17,0.82,0.59,0.68,0.92,0.14,0.34,1.0,0.0,1.0,0.0,0.24,0.8,0.7
105,106.7373705,-6.167465,street_view_collage_105,,,,,,,0.54,0.33,0.31,0.55,0.54,0.55,0.36,0.8,0.73,0.0,0.04,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.84,0.33,0.51,0.76,0.43,0.46,1.0,0.0,1.0,0.0,0.44,0.64,0.58
106,106.7430905,-6.1752007,street_view_collage_106,,,,,,,0.42,0.32,0.26,0.6,0.42,0.32,0.61,0.46,0.38,0.0,0.28,0.0,0.29,0.5,0.0,0.0,0.0,0.0,0.52,0.48,0.39,0.84,0.74,0.63,1.0,0.0,1.0,0.0,0.68,0.62,0.5
